Day,Weekday,Hour,E_LastHour,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12
05/18/22,2,0,0.0,0.119236335,0.17646252,0.15213324,0.117229074,0.10990022,0.15821648,0.252392,0.7796011,5.0341706,11.53676,7.3100104,4.1260085
05/18/22,2,1,0.0,0.17596385,0.21406928,0.1945514,0.2583087,0.2907742,0.3303206,1.1506896,5.556405,11.774625,8.112313,4.150674,3.4076853
05/18/22,2,2,0.0,0.2544133,0.2202851,0.1887492,0.20005335,0.25812715,0.9664999,5.776862,11.611359,7.762371,4.3197722,2.8513858,2.658366
05/18/22,2,3,0.0,0.23506261,0.19761556,0.1415854,0.1983841,0.7927636,4.808248,11.039576,7.750622,4.4740996,3.716979,2.589532,2.2640545
05/18/22,2,4,0.0,0.13146947,0.13490306,0.1701469,0.74435717,4.6613474,9.276526,6.8953424,3.8761277,3.2926447,3.146557,2.3836117,2.3330455
05/18/22,2,5,0.0,0.13349198,0.21814439,0.70173395,5.0739493,10.922711,7.2234306,4.2109795,3.6539,3.6809528,3.1892684,2.6600049,2.4257703
05/18/22,2,6,0.0,0.3119635,0.9028879,4.587381,11.102352,7.7311683,4.056802,3.404309,3.1421034,3.0008752,3.043675,2.6438441,1.6736716
05/18/22,2,7,0.03755833333333336,1.1161861,4.9902053,10.04796,7.2912755,4.0568795,3.3070865,3.269165,3.0491729,3.1787102,3.0409055,1.6310366,0.69195545
05/18/22,2,8,0.0,3.326067,9.497873,6.244583,3.315109,2.4335725,2.1018105,2.1198254,2.4223635,2.2577336,1.6575861,0.8512256,0.89513844
05/18/22,2,9,15.088533333333334,21.349684,12.57797,7.448444,4.175044,3.959835,1.9875122,2.0517824,0.009676714,0.035344474,0.002201227,0.00018076216,6.534673e-05
05/18/22,2,10,16.73515833333333,10.097379,6.7076035,3.8421335,3.8780556,2.8153644,3.1369636,2.5914588,0.0012333139,0.0006963538,0.00015548246,1.7877028e-05,0.0013102175
05/18/22,2,11,14.363875,9.00156,6.357454,5.2570715,3.706611,2.4197874,2.0597973,1.0404124,0.05442337,0.00032808923,0.007860894,0.021812871,0.008248695
05/18/22,2,12,11.080041666666666,6.329945,4.6553187,3.787906,3.1896074,2.0566978,1.5191274,0.9265253,0.047563642,0.00020313122,0.0074441438,0.027796619,0.0108387405
05/18/22,2,13,10.330158333333335,5.9291444,3.978674,3.3117366,2.796587,1.6492772,1.1884996,0.7212108,0.07680654,0.0014209166,0.024340896,0.07773518,0.02120828
05/18/22,2,14,9.241800000000001,5.1240916,3.3444328,2.7928128,2.3184903,1.274608,1.0153561,0.6348556,0.11916224,0.00857214,0.06335275,0.14853139,0.029865995
05/18/22,2,15,1.9444833333333342,1.8940765,1.8389173,1.6130178,2.0966728,1.2266946,0.76719934,0.5855264,0.11298887,0.009037647,0.09517253,0.24459052,0.093970805
05/18/22,2,16,0.6272583333333319,1.281827,1.1779674,1.1334052,1.3976502,0.8541069,0.43048108,0.34695598,0.12426471,0.06243137,0.48910347,1.1602503,0.88894135
